epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,758.214,1.21512,0.61092,1.16797,0.87834,0.84377,0.90197,0.59541,1.20907,0.55856,1.15631,0.00333134,0.00333134,0.00333134
2,1406.79,1.18055,0.61855,1.14,0.89003,0.83539,0.90269,0.59258,1.21117,0.58099,1.16639,0.00653271,0.00653271,0.00653271
3,2038.74,1.18959,0.65616,1.15078,0.8756,0.83727,0.90123,0.58875,1.22647,0.61042,1.17794,0.00960209,0.00960209,0.00960209
4,2681.17,1.20533,0.67794,1.16242,0.88544,0.83222,0.89861,0.58951,1.21897,0.61987,1.17648,0.009406,0.009406,0.009406
5,3330.59,1.19452,0.66433,1.15586,0.88426,0.82736,0.89969,0.59063,1.21209,0.61159,1.18219,0.009208,0.009208,0.009208
6,3965.59,1.1865,0.65397,1.15081,0.88362,0.82645,0.8949,0.58798,1.21034,0.60489,1.17543,0.00901,0.00901,0.00901
7,4589.72,1.17631,0.63891,1.15341,0.88303,0.82736,0.89888,0.58978,1.20909,0.60578,1.17631,0.008812,0.008812,0.008812
8,5206.38,1.16981,0.63075,1.14484,0.88743,0.82513,0.89639,0.59386,1.20009,0.59515,1.16972,0.008614,0.008614,0.008614
9,5830.43,1.15986,0.62697,1.14221,0.88982,0.82882,0.90242,0.59251,1.20668,0.58488,1.17712,0.008416,0.008416,0.008416
10,6452.45,1.16,0.61982,1.13867,0.88802,0.83154,0.90313,0.59726,1.20501,0.58134,1.15998,0.008218,0.008218,0.008218
11,7072.74,1.14409,0.60778,1.12818,0.88128,0.83542,0.90064,0.59864,1.19662,0.58277,1.16025,0.00802,0.00802,0.00802
12,7692.84,1.14337,0.60188,1.12821,0.88442,0.82192,0.89707,0.59508,1.19782,0.58352,1.16076,0.007822,0.007822,0.007822
13,8332.02,1.13901,0.59834,1.12855,0.89057,0.82577,0.9015,0.59924,1.19139,0.56781,1.15785,0.007624,0.007624,0.007624
