epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,647.963,1.17257,0.62971,1.1353,0.88221,0.78347,0.86497,0.56364,1.25477,0.67123,1.17231,0.000665721,0.000665721,0.000665721
2,1218.21,1.21923,0.70251,1.16847,0.88234,0.76744,0.85129,0.54922,1.2734,0.708,1.1907,0.00120048,0.00120048,0.00120048
3,1787.9,1.23754,0.73111,1.17791,0.8803,0.76904,0.85071,0.54448,1.26129,0.71285,1.18724,0.00160324,0.00160324,0.00160324
4,2391.99,1.23493,0.73797,1.17882,0.87985,0.77707,0.85517,0.54915,1.26084,0.70241,1.18544,0.001406,0.001406,0.001406
5,2975.93,1.21741,0.70715,1.17046,0.89044,0.77732,0.86236,0.56226,1.24172,0.68261,1.17963,0.001208,0.001208,0.001208
6,3564.12,1.20149,0.6755,1.15718,0.87839,0.79212,0.86719,0.56699,1.23442,0.659,1.163,0.00101,0.00101,0.00101
7,4146.9,1.18806,0.65456,1.14096,0.88985,0.80542,0.87996,0.57709,1.21738,0.6267,1.14878,0.000812,0.000812,0.000812
8,4734.63,1.16722,0.63039,1.13343,0.89505,0.80794,0.88486,0.58451,1.20554,0.61337,1.14586,0.000614,0.000614,0.000614
9,5317.36,1.15433,0.60582,1.12542,0.90124,0.80809,0.89025,0.59273,1.19808,0.58778,1.14226,0.000416,0.000416,0.000416
10,5897.86,1.13867,0.58325,1.11421,0.89376,0.81435,0.8915,0.59484,1.18645,0.57577,1.13206,0.000218,0.000218,0.000218
